ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BIH,Bosnia and Herzegovina,Climate Watch,Energy,All GHG,MtCO₂e,21.81,22.04,23.52,23.38,23.1,20.37,20.2,22.62,22.67,24.59,21.59,21.33,21.36,19.52,18.49,16.83,16.15,15.45,15.08,14.28,14.51,11.16,11.44,9.08,4.59,3.57,3.35,13.73,16.66,23.6,26.16
BLR,Belarus,Climate Watch,Energy,All GHG,MtCO₂e,54.27,57.22,58.9,55.78,54.7,54.32,58.6,59.4,59.46,58.25,61.43,57.13,60.48,57.86,59.2,56.83,56.28,53.14,52.52,52.64,53.87,55.75,58.04,60.01,59.56,58.57,65.7,77.3,88.88,98.28,101.96
BLZ,Belize,Climate Watch,Energy,All GHG,MtCO₂e,0.78,0.83,0.72,0.74,0.74,0.77,0.6,0.59,0.62,0.75,0.73,0.69,0.57,0.57,0.5,0.44,0.41,0.45,0.45,0.48,0.43,0.37,0.4,0.42,0.33,0.41,0.4,0.41,0.38,0.44,0.34
BOL,Bolivia,Climate Watch,Energy,All GHG,MtCO₂e,20.71,24.3,24.8,24.9,24.73,23.57,23.17,21.64,20.12,18.73,17.27,15.83,15.46,14.59,13.22,12.32,11.55,10.65,9.95,9.24,9.32,9.58,10.15,11.18,9.94,10.27,12.31,13.7,15.43,15.11,14.39
BRA,Brazil,Climate Watch,Energy,All GHG,MtCO₂e,440.02,462.47,460.36,483.39,470.67,506.5,529.65,501.99,470.05,434.88,415.24,366.54,390.65,368.91,352.98,349.23,344.99,326.39,330.88,329.17,321.88,307.36,295.84,286.07,267.33,247.29,229.67,221.82,214.86,210.48,203.68
BRB,Barbados,Climate Watch,Energy,All GHG,MtCO₂e,1.07,1.14,1.25,1.16,1.27,1.24,1.26,1.41,1.44,1.46,1.43,1.53,1.53,1.27,1.25,1.23,1.19,1.16,1.13,1.17,1.14,1.16,1.09,1.06,1.0,0.98,0.96,0.91,0.91,0.97,0.97
BRN,Brunei,Climate Watch,Energy,All GHG,MtCO₂e,10.98,8.55,9.08,8.86,8.48,7.92,8.68,8.83,9.08,9.17,8.95,9.66,9.9,9.05,9.57,6.84,7.01,7.43,6.43,6.41,6.49,6.1,6.03,6.81,6.41,6.22,5.84,5.55,5.12,4.83,4.62
BTN,Bhutan,Climate Watch,Energy,All GHG,MtCO₂e,0.71,0.97,0.96,0.87,0.76,0.65,0.67,0.62,0.58,0.47,0.39,0.31,0.33,0.31,0.31,0.31,0.23,0.3,0.33,0.3,0.31,0.3,0.3,0.3,0.22,0.18,0.15,0.12,0.15,0.13,0.13
BWA,Botswana,Climate Watch,Energy,All GHG,MtCO₂e,6.0,7.45,8.32,7.58,6.87,7.19,7.23,5.65,3.64,4.11,3.5,4.33,4.64,4.56,4.33,4.52,4.2,4.17,4.28,4.13,4.28,4.12,3.92,3.3,3.15,3.42,3.31,3.48,3.52,2.94,3.0
CAF,Central African Republic,Climate Watch,Energy,All GHG,MtCO₂e,0.24,0.24,0.23,0.22,0.21,0.18,0.13,0.12,0.2,0.19,0.17,0.17,0.17,0.24,0.23,0.22,0.23,0.23,0.25,0.25,0.24,0.24,0.23,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15
CAN,Canada,Climate Watch,Energy,All GHG,MtCO₂e,573.59,625.75,640.08,625.74,611.34,610.7,613.26,604.14,591.68,594.75,580.34,563.58,592.99,614.76,582.74,589.41,576.97,584.43,563.55,545.26,552.05,530.96,521.62,512.36,496.63,481.46,469.07,453.4,456.21,441.44,445.62
CHE,Switzerland,Climate Watch,Energy,All GHG,MtCO₂e,34.34,36.78,36.87,38.08,39.04,38.49,39.03,42.89,41.89,40.44,44.5,43.04,44.31,42.83,44.82,45.21,44.73,44.4,43.08,44.62,43.22,44.16,43.89,42.39,43.5,42.7,41.73,42.79,44.77,44.57,41.83
CHL,Chile,Climate Watch,Energy,All GHG,MtCO₂e,86.34,93.65,88.32,88.61,87.72,83.42,77.73,84.91,80.17,77.92,71.11,66.67,68.9,65.49,58.2,57.07,56.03,51.27,50.26,49.62,51.6,55.59,52.88,52.3,45.82,39.75,36.44,33.09,31.1,30.08,31.39
CHN,China,Climate Watch,Energy,All GHG,MtCO₂e,10818.71,10656.99,10481.54,10004.3,9779.9,9846.65,9961.64,9942.22,9516.56,9266.08,8477.96,7730.49,7241.53,7037.44,6492.17,5900.83,5186.57,4462.74,3860.15,3592.68,3423.91,3235.1,3338.74,3251.14,3196.78,3226.14,2897.77,2786.06,2570.25,2473.17,2359.05
CIV,Côte d'Ivoire,Climate Watch,Energy,All GHG,MtCO₂e,13.51,13.42,12.67,13.16,12.03,12.14,11.83,11.42,10.71,8.72,8.78,8.35,8.89,8.06,8.21,8.1,7.43,6.96,8.65,8.03,7.97,8.31,6.3,6.29,5.28,4.33,3.96,3.8,3.59,3.54,3.44
CMR,Cameroon,Climate Watch,Energy,All GHG,MtCO₂e,15.69,15.5,15.37,14.8,15.46,15.16,13.96,12.71,11.66,11.72,12.26,12.83,12.59,12.02,11.45,11.62,11.99,12.41,12.41,12.49,12.93,12.42,12.89,12.47,12.16,11.53,11.96,14.62,17.17,17.73,9.79
COD,Democratic Republic of the Congo,Climate Watch,Energy,All GHG,MtCO₂e,10.07,9.9,9.7,10.8,9.81,10.42,12.2,10.12,8.54,10.23,9.72,9.54,9.66,9.47,8.92,8.76,8.53,8.71,7.87,7.72,7.52,8.07,8.45,8.6,8.4,7.8,7.85,6.54,5.19,5.4,6.74
COG,Republic of Congo,Climate Watch,Energy,All GHG,MtCO₂e,14.96,15.24,14.05,11.48,10.88,11.43,11.39,11.64,12.37,13.1,13.45,12.0,10.69,10.22,12.28,10.9,9.35,8.77,8.38,11.13,11.66,11.12,10.64,9.17,8.44,7.09,6.23,7.3,7.84,7.55,7.58
COK,Cook Islands,Climate Watch,Energy,All GHG,MtCO₂e,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04
COL,Colombia,Climate Watch,Energy,All GHG,MtCO₂e,88.18,91.12,90.57,86.93,95.13,93.44,92.95,91.08,82.12,81.34,74.48,71.6,67.6,66.16,64.81,64.46,63.52,63.69,64.48,67.13,66.58,64.53,72.76,71.62,65.67,65.94,61.94,61.38,58.15,56.06,54.57
COM,Comoros,Climate Watch,Energy,All GHG,MtCO₂e,0.33,0.33,0.3,0.28,0.22,0.19,0.17,0.19,0.16,0.15,0.17,0.14,0.11,0.11,0.17,0.15,0.15,0.14,0.11,0.11,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07
CPV,Cape Verde,Climate Watch,Energy,All GHG,MtCO₂e,0.62,0.62,0.59,0.58,0.54,0.5,0.5,0.5,0.53,0.57,0.54,0.51,0.48,0.46,0.52,0.45,0.42,0.42,0.39,0.36,0.31,0.3,0.25,0.23,0.22,0.2,0.18,0.17,0.18,0.17,0.18
