ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BHS,Bahamas,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,1.32,1.41,1.38,1.25,1.24,1.26,1.22,1.13,1.16,1.27,1.27,1.39,1.47,1.39,1.35,1.3,1.31,1.31,1.23,1.17,1.15,1.15,1.1,1.02,0.91,0.91,0.91,0.89,0.92,0.89,0.86
BIH,Bosnia and Herzegovina,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,14.73,13.74,15.23,15.38,15.07,12.91,13.06,15.33,15.23,16.65,13.95,14.13,13.63,12.54,11.97,10.63,10.34,10.42,9.62,8.82,8.98,7.85,7.97,5.86,2.11,0.79,0.69,6.0,6.91,8.74,10.77
BLR,Belarus,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,30.64,32.07,33.27,31.02,30.88,31.3,32.98,32.85,33.24,33.51,37.38,34.6,35.9,34.92,36.83,36.14,36.79,34.09,34.02,34.41,34.39,35.18,36.06,38.03,36.46,36.78,42.38,46.36,54.8,58.9,62.39
BLZ,Belize,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.06,0.07,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.03,0.03,0.07,0.06,0.08,0.04,0.04,0.03,0.06,0.09,0.09,0.08,0.09,0.11,0.12,0.11,0.1,0.08
BOL,Bolivia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,4.1,4.53,4.95,5.29,5.59,4.76,4.65,4.25,4.27,4.06,3.77,3.27,3.05,2.74,2.49,2.39,2.13,2.12,1.79,1.56,1.8,1.68,2.14,2.07,2.0,2.27,1.95,1.68,1.72,1.52,1.55
BRA,Brazil,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,88.81,94.53,93.35,102.71,99.43,124.12,129.19,110.03,84.59,65.39,71.95,59.7,71.16,59.4,59.99,59.68,57.42,51.71,51.38,55.98,51.11,46.43,39.86,39.15,34.78,32.29,30.77,30.95,30.63,28.86,28.8
BRB,Barbados,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.47,0.5,0.62,0.52,0.66,0.64,0.64,0.8,0.8,0.81,0.76,0.87,0.84,0.68,0.65,0.64,0.61,0.6,0.57,0.6,0.57,0.59,0.55,0.56,0.55,0.52,0.49,0.48,0.46,0.48,0.47
BRN,Brunei,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,7.5,4.78,5.21,4.79,4.63,4.09,4.84,4.97,4.99,5.16,5.16,5.13,3.93,3.77,4.21,3.71,3.78,4.14,3.3,3.3,3.42,3.15,3.24,3.88,3.59,3.47,3.17,2.95,2.71,2.61,2.54
BTN,Bhutan,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BWA,Botswana,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2.96,4.09,4.81,4.31,3.64,3.83,3.77,2.33,0.49,1.08,0.57,0.94,1.06,1.08,1.28,1.69,1.62,1.38,1.32,1.25,1.67,1.67,1.32,1.41,1.32,1.76,1.67,1.65,1.66,1.41,1.53
