ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BIH,Bosnia and Herzegovina,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.59,0.53,0.56,0.53,0.51,0.5,0.52,0.55,0.53,0.56,0.59,0.62,0.75,0.71,0.69,0.61,0.63,0.58,0.6,0.54,0.52,0.35,0.31,0.23,0.16,0.15,0.17,0.17,0.2,0.17,0.21
BLR,Belarus,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.82,2.79,2.67,2.74,2.71,2.79,3.17,2.87,2.7,2.46,2.51,2.36,2.31,2.11,2.05,1.94,1.77,1.63,1.44,1.28,1.31,1.34,1.35,1.24,1.04,0.97,1.04,1.26,1.33,0.42,0.43
BLZ,Belize,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.17,0.16,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
BOL,Bolivia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1.66,1.91,1.82,1.74,1.71,1.64,1.56,1.42,1.26,1.23,1.11,1.06,0.93,0.84,0.79,0.7,0.63,0.57,0.51,0.5,0.54,0.59,0.56,0.5,0.43,0.42,0.37,0.34,0.31,0.28,0.27
BRA,Brazil,Climate Watch,Industrial Processes,All GHG,MtCO₂e,34.28,31.53,30.55,29.86,31.64,33.88,35.65,35.33,33.62,31.4,29.79,26.88,26.93,24.71,28.66,26.22,25.68,23.0,24.34,23.41,25.25,26.59,25.31,22.89,22.23,21.59,19.93,20.13,18.56,20.29,18.24
BRB,Barbados,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.17,0.16,0.17,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.15,0.15,0.14,0.14,0.1,0.06,0.04,0.04,0.04,0.09,0.1,0.1
BRN,Brunei,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.65,0.58,0.5,0.43,0.35,0.28,0.25,0.22,0.19,0.16,0.13,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01
BTN,Bhutan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.37,0.5,0.53,0.48,0.5,0.42,0.37,0.31,0.28,0.29,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.05,0.06,0.06,0.06
BWA,Botswana,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.22,0.2,0.18,0.18,0.16,0.15,0.14,0.12,0.11,0.1,0.18,0.17,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CAF,Central African Republic,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
